Epoch,Train Loss,Train Accuracy (%),Val Loss,Val Accuracy (%),Time (s)
Epoch 1/10,0.2731,88.58%,0.2238,90.36%,156.85s
Epoch 2/10,0.2381,90.03%,0.2178,90.90%,61.31s
Epoch 3/10,0.2312,90.34%,0.2060,91.53%,60.84s
Epoch 4/10,0.2263,90.58%,0.2010,91.75%,60.89s
Epoch 5/10,0.2235,90.66%,0.1986,91.84%,61.41s
Epoch 6/10,0.2184,90.91%,0.1959,92.01%,58.26s
Epoch 7/10,0.2175,91.02%,0.1937,91.99%,56.58s
Epoch 8/10,0.2160,91.05%,0.1935,92.05%,56.05s
Epoch 9/10,0.2135,91.14%,0.1895,92.16%,57.87s
Epoch 10/10,0.2107,91.26%,0.1887,92.37%,56.43s
